Sample	Code	Lat	Long	Place	Karyotype	Mitotype	Mappingrate	xCoverage
M3T	16#19.18	44.22544	6.70695	Lac D’Allos	F	F	0.001390460424492	72.0024987506247
M1T	16#22.5	44.24132	6.70751	Lac D’Allos	F	F	0.0013009424335	116.245627186407
M2T	16#21.9	44.24837	6.71654	Lac D’Allos	F	F	0.000940545556476	78.5114942528736
M4T	19#T6.9	44.25251696	6.719198031	Lac D’Allos	U	F	0.001359090295078	69.092203898051
M5T	19#T6.1	44.25251696	6.719198031	Lac D’Allos	U	F	0.001231444740334	52.5087456271864
M6T	19#T4.2	44.25492299	6.723414967	Lac D’Allos	U	F	0.00189198988682	60.5464767616192
M7T	19#T2.1	44.25682803	6.730643017	Lac D’Allos	U	U	0.002379959012009	137.22063968016
M8T	19#T1.1N	44.25641396	6.735964017	Lac D’Allos	U	U	0.001636823141275	213.609945027486
M9T	16#3.2	44.33321	6.26421	W of Tete Grosse	U	F	0.001762088767979	157.891804097951
M10T	16#4.1	44.321	6.27217	SE of Les Tomples	F	F	0.000954000037994	619.35632183908
M11T	16#5.3	44.31817	6.27965	near Roger’s cabin	F	F	0.001567486620828	91.4392803598201
M12T	15#35.6	44.32732	6.26886	U transect centre (orthogonal U8)	U	F	0.001104777714341	326.484757621189
M13T	15#35.10	44.32732	6.26886	U transect centre (orthogonal U8)	U	F	0.001072765698035	321.846326836582
M14T	14#U7.3	44.32701	6.26702	U transect	U	F	0.000875991589213	232.439030484758
M15T	14#U10.1	44.32592	6.27052	U transect	T	F	0.00082611725022	106.313593203398
M16T	14#U3.9	44.32815	6.26308	U transect down in brook	U	F	0.001753119652858	177.646676661669
M17T	15#29.7	44.26385	6.22264	T transect n Barles	F	F	0.002374174503013	564.155672163918
M18T	15#33.10	44.26341	6.22698	T transect n Barles	F	F	0.001840711714558	350.71664167916
M19T	15#19.6	44.27062	6.20967	T transect n Barles, approx 200m north from N end of 2014	U	F	0.007072958015182	301.706896551724
M20T	15#16.6	44.27347	6.20969	T transect n Barles	U	F	0.004499332768212	86.3830584707646
M21T	14#T3.9	44.26467	6.21779	T transect n. Barles	F	F	0.004496933321128	149.426786606697
M22T	14#T7.11	44.26506	6.21299	T transect n. Barles	F	F	0.00342108712854	69.1206896551724
M23T	14#T7.4	44.26506	6.21299	T transect n. Barles	F	F	0.001782413572483	130.464767616192
M24T	14#12.12	44.2679	6.2099	T transect n. Barles	U	F	0.002465819035058	284.596451774113
M25F	19#12.A	44.26660803	6.306301961	Les Pines	F	F	0.007824561361921	209.451024487756
M26F	16#8.11	44.23676	6.19958	E of Authon, 1405m	F	F	0.00452979354708	129.548475762119
M27F	16#8.14	44.23676	6.19958	E of Authon, 1405m	F	F	0.003978566614148	173.345327336332
M43U	19#8.3	44.57653301	6.339388015	Reallon	U	U	0.017426023810899	210.030234882559
M44U	19#8.2	44.57653301	6.339388015	Reallon	U	U	0.009416029616809	158.879310344828
M42U	19#9.1	44.48402597	6.426730966	Cirque de Morgon	U	U	0.018053315569268	93.02023988006
M28U	19#1.5	44.4097222222222	6.38083333333333	Dormillouse	U	U	0.001116602102784	1084.27711144428
M29U	19#1.8	44.4097222222222	6.38083333333333	Dormillouse	U	U	0.001917514583322	1870.34632683658
M40U	16#12.12	44.38638	6.40138	Col Bas	U	U	0.014836728688324	101.00099950025
M41U	16#12.9	44.38638	6.40138	Col Bas	U	U	0.012132982923161	1246.62693653173
M34U	19#7.1	44.3663888888889	6.41861111111111	Over col de Bernadez	U	F	0.002214124088702	875.766116941529
M35U	19#7.7	44.3663888888889	6.41861111111111	Over col de Bernadez	U	F	0.003098683968137	1261.43003498251
M38F	16#16.13	44.34712	6.445	N of L’Aiguillette	U	F	0.013745098279953	1434.86556721639
M39F	16#16.12	44.34712	6.445	N of L’Aiguillette	U	F	0.026956035866936	697.345577211394
M36F	19#10.3	44.3177777777778	6.44305555555556	Source de la Blanche	F	F	0.002205383151466	1596.52223888056
M37F	19#10.4	44.3177777777778	6.44305555555556	Source de la Blanche	F	F	0.001282314750579	1888.30184907546
M30U	19#3.3	44.3769444444444	6.23555555555556	La Blanchette	U	F	0.001909841577668	89.0369815092454
M31U	19#3.4	44.3769444444444	6.23555555555556	La Blanchette	U	F	0.003867871521497	93.8985507246377
M32F	19#6.3	44.2988888888889	6.2725	Le Marzenc	F	F	0.002958218028521	150.722888555722
M33F	19#6.8	44.2988888888889	6.2725	Le Marzenc	F	F	0.001861290064257	163.902298850575
M45U	19#4.2	44.2686111111111	6.12805555555556	Crete de Clot des Matres	U	F	0.02189731019885	126.690404797601
M46U	19#4.1	44.2686111111111	6.12805555555556	Crete de Clot des Matres	U	F	0.025578910839615	135.003498250875
H11	H11	44.26657	6.30616	Le Blayeul	F	F	0.004729014986697	1199.1331834083
H13	H13	44.26657	6.30616	Le Blayeul	F	F	0.006515436601394	2320.41760369815
H16	H16	44.26657	6.30616	Le Blayeul	F	F	0.006866750389173	1460.56278110945
H25	H25	44.27766	6.42942	Mariaud	F	F	0.009830739853986	3288.80603448276
H26	H26	44.27766	6.42942	Mariaud	F	F	0.013011247751821	4216.2656171914
H27	H27	44.27766	6.42942	Mariaud	F	F	0.003406460764199	952.701711644178
